manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,price_usd,is_exchangeable,location_region,number_of_photos,up_counter,duration_listed
Subaru,Outback,automatic,silver,190000,2010-01-01,gasoline,False,gasoline,2.5,universal,False,owned,all,10900.0,False,Минская обл.,9,13,16
Subaru,Outback,automatic,blue,290000,2002-01-01,gasoline,False,gasoline,3.0,universal,False,owned,all,5000.0,True,Минская обл.,12,54,83
Subaru,Forester,automatic,red,402000,2001-01-01,gasoline,False,gasoline,2.5,suv,False,owned,all,2800.0,True,Минская обл.,4,72,151
Subaru,Impreza,mechanical,blue,10000,1999-01-01,gasoline,False,gasoline,3.0,sedan,False,owned,all,9999.0,True,Минская обл.,9,42,86
Subaru,Legacy,automatic,black,280000,2001-01-01,gasoline,False,gasoline,2.5,universal,False,owned,all,2134.11,True,Гомельская обл.,14,7,7
Subaru,Outback,automatic,silver,132449,2011-01-01,gasoline,False,gasoline,2.5,universal,False,owned,all,14700.0,True,Минская обл.,20,56,67
Subaru,Forester,automatic,black,318280,1998-01-01,gasoline,False,gasoline,2.5,universal,False,owned,all,3000.0,True,Минская обл.,8,147,307
Subaru,Legacy,automatic,silver,350000,2004-01-01,gasoline,False,gasoline,2.5,sedan,False,owned,all,4500.0,False,Брестская обл.,7,29,73
Subaru,Outback,automatic,grey,179000,2010-01-01,gasoline,False,gasoline,2.5,universal,False,owned,all,12900.0,False,Минская обл.,17,33,87
Subaru,Forester,automatic,silver,571317,1999-01-01,gasoline,False,gasoline,2.5,universal,False,owned,all,4200.0,True,Минская обл.,8,11,43
Subaru,Forester,mechanical,other,280000,2003-01-01,gasoline,False,gasoline,2.0,suv,False,owned,all,6900.0,True,Минская обл.,14,6,11
Subaru,Tribeca,automatic,grey,256000,2008-01-01,gasoline,False,gasoline,3.6,suv,False,owned,all,8350.0,True,Минская обл.,18,61,80
